gender	status
females	infected
females	infected
females	infected
females	infected
females	infected
females	infected
females	infected
females	infected
females	infected
females	infected
females	infected
females	infected
females	infected
females	infected
females	infected
females	infected
females	infected
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	clear
males	infected
males	infected
males	infected
males	infected
males	infected
males	infected
males	infected
males	infected
males	infected
males	infected
males	infected
males	infected
males	infected
males	infected
males	infected
males	infected
males	infected
males	infected
males	infected
males	infected
males	infected
males	infected
males	infected
males	infected
males	infected
males	infected
males	infected
males	infected
males	infected
males	infected
males	infected
males	infected
males	infected
males	infected
males	infected
males	infected
males	infected
males	infected
males	infected
males	infected
males	infected
males	infected
males	infected
males	infected
males	infected
males	infected
males	infected
males	infected
males	infected
males	infected
males	infected
males	infected
males	infected
males	infected
males	infected
males	infected
males	infected
males	infected
males	infected
males	infected
males	infected
males	infected
males	infected
males	infected
males	infected
males	infected
males	infected
males	infected
