stems	diameter	x	y	type
NA	NA	36	137	seedling
NA	NA	66	138	seedling
NA	NA	71	155	seedling
NA	NA	63	193	seedling
NA	NA	116	143	seedling
NA	NA	131	156	seedling
NA	NA	114	161	seedling
NA	NA	230	105	seedling
NA	NA	229	115	seedling
NA	NA	267	171	seedling
7	18	389	155	skeleton
6	15	379	144	regrowth
1	14	407	136	skeleton
1	10	502	134	skeleton
1	13	588	100	skeleton
1	8	597	199	skeleton
2	12	601	191	skeleton
1	11	682	135	skeleton
NA	NA	646	199	seedling
NA	NA	680	195	seedling
NA	NA	779	124	seedling
NA	NA	716	161	seedling
1	4	789	176	regrowth
1	7	736	190	skeleton
NA	NA	926	144	seedling
5	10	1003	190	skeleton
1	5	1029	198	skeleton
1	14	1101	125	skeleton
4	6	1189	173	skeleton
NA	NA	1141	143	seedling
2	14	1231	175	skeleton
1	9	1287	181	skeleton
1	8	1277	154	skeleton
15	12	1324	147	regrowth
1	3	1333	128	skeleton
NA	NA	1379	194	rosette
NA	NA	1379	198	seedling
1	7	1421	108	skeleton
1	8	1450	122	skeleton
1	3	1407	119	skeleton
6	5	1453	130	skeleton
1	7	1456	130	skeleton
1	7	1486	136	skeleton
4	16	1454	162	skeleton
1	9	1447	173	skeleton
NA	NA	1425	167	seedling
NA	NA	1410	122	seedling
NA	NA	1443	147	seedling
NA	NA	1436	165	seedling
NA	NA	1585	197	seedling
NA	NA	1579	199	seedling
NA	NA	1580	197	seedling
NA	NA	1510	199	seedling
1	7	1613	147	skeleton
NA	NA	1686	160	seedling
NA	NA	1683	161	seedling
NA	NA	1690	162	seedling
NA	NA	1681	168	seedling
NA	NA	1696	122	seedling
1	4	1763	142	skeleton
4	10	1720	176	skeleton
5	15	1788	199	skeleton
NA	NA	1763	129	seedling
NA	NA	1704	109	seedling
6	13	1858	133	skeleton
5	10	1876	135	skeleton
3	12	1882	198	skeleton
3	16	1860	187	skeleton
5	10	1827	178	skeleton
1	10	1815	188	skeleton
1	15	1858	193	skeleton
1	10	1838	186	skeleton
NA	NA	1806	176	seedling
NA	NA	1809	182	seedling
NA	NA	1859	199	seedling
1	10	1923	117	regrowth
NA	NA	1961	131	seedling
5	15	1973	136	regrowth
1	16	1991	169	skeleton
NA	NA	1949	174	seedling
NA	NA	1975	185	seedling
NA	NA	1910	103	seedling
NA	NA	1948	149	seedling
NA	NA	1944	150	seedling
NA	NA	1948	152	seedling
NA	NA	1940	162	seedling
1	11	2060	137	skeleton
1	12	2061	145	skeleton
3	8	2097	196	skeleton
NA	NA	2086	103	seedling
3	12	2109	122	skeleton
1	10	2191	120	skeleton
1	7	2164	125	skeleton
1	8	2236	134	skeleton
NA	NA	2284	141	rosette
1	10	2246	134	skeleton
NA	NA	2237	170	rosette
NA	NA	2294	176	seedling
NA	NA	2285	176	seedling
NA	NA	2344	103	seedling
NA	NA	2366	139	seedling
NA	NA	2313	157	rosette
5	15	2379	161	regrowth
NA	NA	2341	168	seedling
5	10	2444	107	regrowth
1	12	2437	165	skeleton
NA	NA	2479	179	seedling
NA	NA	2478	181	seedling
NA	NA	2486	186	seedling
NA	NA	2482	188	seedling
NA	NA	2491	188	seedling
NA	NA	2473	191	seedling
NA	NA	2441	150	seedling
3	10	2456	127	regrowth
NA	NA	2489	100	seedling
3	12	2564	183	skeleton
NA	NA	2509	175	seedling
NA	NA	2539	122	rosette
7	22	2698	177	regrowth
3	13	2609	148	skeleton
3	12	2613	158	skeleton
NA	NA	2698	116	seedling
10	15	2755	164	skeleton
1	15	2792	184	skeleton
1	12	2836	135	regrowth
11	17	2819	156	skeleton
3	16	2813	199	skeleton
NA	NA	2917	100	rosette
NA	NA	2923	195	rosette
2	16	2953	176	skeleton
1	12	2960	143	skeleton
10	15	2940	197	skeleton
1	6	2962	148	skeleton
NA	NA	28	296	seedling
NA	NA	30	295	seedling
1	11	112	292	skeleton
2	11	135	295	skeleton
1	12	275	213	skeleton
1	8	380	241	skeleton
7	12	471	226	skeleton
1	10	446	226	skeleton
5	10	441	234	skeleton
8	12	499	208	regrowth
3	13	475	299	skeleton
1	9	478	209	skeleton
6	15	540	204	regrowth
1	13	589	220	regrowth
1	5	500	217	skeleton
4	17	528	244	regrowth
1	4	527	234	skeleton
3	13	508	258	regrowth
2	13	561	283	skeleton
1	14	541	296	skeleton
1	4	607	216	skeleton
4	11	632	220	skeleton
8	17	693	229	regrowth
5	16	657	240	skeleton
6	10	645	274	skeleton
5	11	647	291	skeleton
1	13	628	288	skeleton
2	15	655	295	skeleton
NA	NA	664	289	seedling
1	4	665	229	skeleton
1	4	682	242	skeleton
1	11	740	201	skeleton
1	15	732	241	skeleton
2	12	731	270	skeleton
2	10	782	285	skeleton
1	14	761	285	regrowth
6	16	700	282	regrowth
1	8	771	299	skeleton
NA	NA	739	210	seedling
2	11	793	267	skeleton
NA	NA	872	200	rosette
NA	NA	998	275	rosette
NA	NA	907	234	rosette
NA	NA	1002	296	rosette
3	10	1062	209	skeleton
1	9	1042	236	skeleton
2	8	1053	242	skeleton
1	7	1040	273	skeleton
NA	NA	1071	296	seedling
NA	NA	1025	242	seedling
1	11	1179	216	skeleton
NA	NA	1192	229	rosette
NA	NA	1118	231	seedling
2	9	1183	249	skeleton
1	11	1161	260	skeleton
1	3	1171	260	skeleton
1	10	1130	285	skeleton
1	13	1278	200	regrowth
2	9	1249	290	skeleton
NA	NA	1375	203	rosette
2	10	1323	243	regrowth
NA	NA	1313	247	seedling
NA	NA	1327	252	seedling
NA	NA	1380	260	seedling
NA	NA	1552	266	seedling
NA	NA	1548	269	seedling
NA	NA	1549	271	seedling
NA	NA	1544	272	seedling
NA	NA	1538	276	seedling
NA	NA	1516	276	seedling
NA	NA	1510	271	seedling
NA	NA	1565	264	seedling
NA	NA	1576	277	seedling
NA	NA	1578	278	seedling
NA	NA	1579	279	seedling
NA	NA	1558	287	seedling
NA	NA	1563	289	seedling
NA	NA	1566	290	seedling
NA	NA	1568	290	seedling
NA	NA	1573	290	seedling
NA	NA	1571	292	seedling
NA	NA	1576	295	seedling
NA	NA	1573	253	seedling
NA	NA	1654	215	seedling
6	14	1697	250	skeleton
1	11	1644	285	skeleton
NA	NA	1610	224	seedling
5	18	1702	289	skeleton
4	18	1721	275	skeleton
4	14	1780	225	skeleton
1	10	1729	255	skeleton
NA	NA	1799	210	seedling
4	16	1848	202	skeleton
4	13	1843	220	skeleton
NA	NA	1845	221	seedling
1	6	1858	232	skeleton
NA	NA	1872	214	seedling
NA	NA	1882	211	seedling
NA	NA	1883	210	seedling
NA	NA	1899	205	seedling
NA	NA	1896	204	seedling
NA	NA	1850	212	seedling
1	5	1877	233	skeleton
NA	NA	1853	236	seedling
NA	NA	1854	237	seedling
NA	NA	1886	252	seedling
NA	NA	1880	253	seedling
5	12	1844	292	skeleton
1	10	1804	295	skeleton
2	12	1856	299	skeleton
5	8	1941	206	skeleton
1	14	1934	244	skeleton
6	15	1999	293	skeleton
NA	NA	1907	239	seedling
NA	NA	1954	236	seedling
2	9	2039	220	skeleton
1	13	2062	231	skeleton
2	10	2019	278	skeleton
5	15	2067	299	regrowth
NA	NA	2068	211	seedling
NA	NA	2064	244	seedling
1	19	2119	222	skeleton
3	15	2131	232	skeleton
2	16	2150	282	skeleton
6	15	2171	291	regrowth
1	9	2199	261	skeleton
NA	NA	2130	227	seedling
7	15	2285	276	skeleton
10	10	2219	266	skeleton
5	10	2250	279	skeleton
NA	NA	2246	224	seedling
NA	NA	2282	263	seedling
3	10	2378	233	skeleton
NA	NA	2377	251	seedling
NA	NA	2372	269	seedling
NA	NA	2374	276	seedling
NA	NA	2338	275	seedling
NA	NA	2334	276	seedling
NA	NA	2331	277	seedling
NA	NA	2330	278	seedling
NA	NA	2327	277	seedling
NA	NA	2327	278	seedling
NA	NA	2327	279	seedling
NA	NA	2330	280	seedling
NA	NA	2327	282	seedling
NA	NA	2324	284	seedling
NA	NA	2371	287	seedling
NA	NA	2377	287	seedling
NA	NA	2373	290	seedling
NA	NA	2310	285	seedling
NA	NA	2356	298	seedling
NA	NA	2364	298	seedling
NA	NA	2368	298	seedling
NA	NA	2371	298	seedling
NA	NA	2360	299	seedling
NA	NA	2365	299	seedling
NA	NA	2357	299	seedling
2	18	2407	274	regrowth
NA	NA	2439	299	rosette
NA	NA	2419	299	seedling
NA	NA	2467	255	rosette
NA	NA	2481	219	seedling
1	6	2530	271	skeleton
NA	NA	2527	270	rosette
3	8	2567	297	skeleton
1	13	2570	299	skeleton
1	8	2625	256	skeleton
1	7	2629	290	skeleton
4	12	2762	236	skeleton
4	12	2789	225	skeleton
1	10	2736	235	regrowth
1	7	2777	213	skeleton
5	15	2713	237	skeleton
1	12	2770	242	skeleton
4	16	2786	247	skeleton
1	7	2764	255	skeleton
1	12	2769	263	skeleton
2	12	2768	268	skeleton
1	10	2762	264	regrowth
1	9	2730	278	skeleton
5	10	2734	292	skeleton
8	13	2714	299	skeleton
3	11	2858	213	regrowth
4	16	2855	224	regrowth
1	11	2867	222	skeleton
1	12	2867	233	regrowth
1	11	2812	235	skeleton
3	12	2818	230	skeleton
3	14	2856	243	skeleton
9	14	2876	256	regrowth
3	12	2863	261	skeleton
11	12	2867	299	skeleton
1	11	2998	269	skeleton
NA	NA	2993	288	seedling
1	10	2968	286	regrowth
1	11	2942	214	regrowth
7	13	0	388	skeleton
1	6	394	346	skeleton
2	11	321	355	skeleton
1	6	359	372	skeleton
5	12	329	382	skeleton
3	9	339	381	skeleton
1	8	344	387	skeleton
1	8	310	388	skeleton
1	8	432	314	skeleton
5	11	428	318	skeleton
4	8	477	320	skeleton
1	5	423	331	skeleton
2	10	474	334	skeleton
3	13	467	348	skeleton
6	15	413	349	regrowth
1	12	444	355	skeleton
1	8	455	360	skeleton
4	11	445	387	skeleton
3	13	430	395	skeleton
1	10	475	340	regrowth
1	6	548	307	skeleton
1	6	578	307	skeleton
1	10	543	309	skeleton
1	9	540	338	skeleton
1	9	576	341	skeleton
NA	NA	536	331	seedling
2	11	577	358	skeleton
13	10	538	381	skeleton
1	10	566	399	skeleton
1	9	586	367	skeleton
1	9	573	344	skeleton
1	6	630	300	skeleton
1	5	629	349	skeleton
4	14	658	383	skeleton
9	11	648	384	skeleton
1	10	666	389	skeleton
1	12	787	315	regrowth
4	12	786	325	skeleton
7	8	727	327	skeleton
2	10	793	338	skeleton
7	16	744	369	regrowth
1	10	760	370	skeleton
3	7	780	377	skeleton
NA	NA	780	378	seedling
1	5	792	387	skeleton
3	7	820	311	regrowth
1	8	891	366	skeleton
1	3	814	392	skeleton
4	12	916	306	skeleton
1	9	978	309	skeleton
1	7	933	309	skeleton
NA	NA	915	398	seedling
NA	NA	967	396	seedling
NA	NA	945	323	seedling
1	8	1025	334	skeleton
1	6	1053	389	skeleton
3	10	1006	327	skeleton
8	11	1135	312	skeleton
1	10	1108	350	skeleton
1	10	1184	388	skeleton
5	8	1200	351	skeleton
2	12	1200	388	skeleton
1	7	1337	349	skeleton
1	6	1338	381	skeleton
NA	NA	1382	339	seedling
NA	NA	1377	337	seedling
NA	NA	1431	321	seedling
7	15	1582	315	skeleton
NA	NA	1562	333	seedling
NA	NA	1576	304	seedling
7	8	1666	321	skeleton
3	9	1661	399	skeleton
12	18	1727	326	skeleton
1	9	1761	371	skeleton
4	7	1791	387	skeleton
1	10	1776	396	skeleton
1	10	1835	351	skeleton
1	9	1834	360	skeleton
1	9	1880	377	skeleton
1	8	1899	382	skeleton
2	5	1870	392	skeleton
1	8	1810	394	skeleton
1	12	1800	399	skeleton
5	10	1990	302	skeleton
7	13	1953	344	skeleton
1	8	1996	362	regrowth
1	11	1962	387	skeleton
2	10	1913	378	regrowth
1	6	1956	389	skeleton
1	8	1946	399	regrowth
1	9	1943	398	regrowth
2	10	2039	318	skeleton
2	15	2021	319	skeleton
1	11	2024	323	skeleton
1	10	2054	344	regrowth
NA	NA	2016	371	seedling
1	7	2058	365	regrowth
NA	NA	2048	342	seedling
NA	NA	2054	312	seedling
1	15	2119	301	skeleton
5	10	2132	318	skeleton
6	11	2163	341	skeleton
3	11	2142	348	skeleton
4	10	2101	392	skeleton
14	11	2273	321	skeleton
6	15	2298	302	skeleton
2	6	2253	320	skeleton
8	9	2217	336	skeleton
2	11	2250	366	skeleton
1	8	2208	369	skeleton
1	8	2220	369	skeleton
6	13	2273	373	skeleton
8	10	2351	315	skeleton
1	4	2301	301	skeleton
3	10	2337	350	regrowth
1	5	2354	358	skeleton
1	4	2324	360	skeleton
2	6	2349	364	skeleton
1	5	2317	381	skeleton
1	3	2342	387	skeleton
1	3	2342	388	skeleton
NA	NA	2368	388	seedling
1	3	2338	395	skeleton
3	4	2364	397	skeleton
2	10	2319	396	skeleton
NA	NA	2377	397	seedling
NA	NA	2377	399	seedling
NA	NA	2412	305	seedling
NA	NA	2424	302	rosette
NA	NA	2425	310	rosette
1	5	2482	361	skeleton
NA	NA	2467	387	seedling
NA	NA	2429	392	rosette
NA	NA	2434	392	rosette
NA	NA	2420	396	rosette
NA	NA	2471	399	rosette
NA	NA	2407	330	rosette
7	14	2574	327	skeleton
4	11	2571	345	skeleton
1	5	2534	328	skeleton
1	5	2574	365	regrowth
1	5	2557	368	skeleton
2	9	2555	390	skeleton
4	13	2610	312	skeleton
1	10	2614	310	skeleton
2	14	2686	338	regrowth
1	11	2613	349	skeleton
7	11	2623	357	skeleton
3	10	2650	366	regrowth
6	10	2608	371	skeleton
2	2	2641	399	skeleton
NA	NA	2648	306	seedling
1	3	2617	360	skeleton
8	8	2722	339	skeleton
1	8	2700	346	skeleton
1	6	2740	341	skeleton
1	7	2751	342	skeleton
1	3	2716	368	skeleton
NA	NA	2720	369	seedling
11	7	2729	376	skeleton
1	11	2786	340	regrowth
1	9	2786	338	skeleton
2	11	2788	361	skeleton
2	9	2757	300	skeleton
1	9	2747	372	regrowth
5	14	2800	330	skeleton
2	13	2802	350	regrowth
1	10	2835	344	skeleton
1	5	2870	357	skeleton
1	8	2827	334	skeleton
6	14	2927	327	skeleton
2	8	2990	329	skeleton
1	9	2918	351	skeleton
1	5	2940	357	regrowth
NA	NA	2986	314	seedling
NA	NA	2986	383	seedling
NA	NA	2962	325	seedling
4	14	16	484	regrowth
NA	NA	106	489	seedling
NA	NA	105	474	seedling
NA	NA	199	424	seedling
1	8	331	409	skeleton
2	4	451	403	skeleton
1	9	440	411	skeleton
1	8	403	412	skeleton
1	9	465	440	skeleton
1	8	435	444	skeleton
2	10	475	451	skeleton
1	5	448	458	skeleton
5	6	400	465	skeleton
2	9	412	471	regrowth
4	8	423	477	skeleton
2	11	407	477	skeleton
2	10	404	493	skeleton
2	10	439	499	regrowth
1	8	430	478	skeleton
2	14	461	489	skeleton
2	7	494	494	skeleton
NA	NA	410	440	seedling
6	13	564	406	skeleton
3	10	575	400	skeleton
2	8	519	433	skeleton
1	7	503	452	skeleton
4	11	502	468	regrowth
1	8	501	474	skeleton
1	10	590	449	skeleton
6	11	545	466	regrowth
1	10	517	480	skeleton
3	13	530	479	skeleton
7	9	581	484	skeleton
1	8	533	485	skeleton
1	10	669	401	skeleton
1	8	625	418	skeleton
4	9	675	428	skeleton
1	7	680	427	skeleton
1	7	627	428	skeleton
1	9	626	432	skeleton
1	7	662	441	skeleton
1	10	648	443	skeleton
1	12	638	444	skeleton
1	7	668	447	skeleton
1	8	663	450	skeleton
4	10	608	450	skeleton
1	11	665	449	skeleton
1	10	683	459	skeleton
2	9	685	459	skeleton
1	8	697	463	skeleton
1	9	659	485	skeleton
1	9	607	485	skeleton
1	7	601	499	skeleton
1	9	657	491	skeleton
1	7	681	460	skeleton
3	6	653	418	skeleton
NA	NA	672	406	seedling
2	8	787	414	skeleton
1	9	785	412	skeleton
2	7	731	414	skeleton
9	10	724	423	skeleton
3	9	720	421	skeleton
1	11	749	440	skeleton
1	7	737	441	skeleton
1	8	792	459	skeleton
1	3	741	457	skeleton
1	10	752	472	skeleton
1	9	743	478	skeleton
1	9	799	495	skeleton
1	3	767	495	skeleton
1	5	758	488	skeleton
1	7	738	419	skeleton
1	12	824	418	skeleton
1	11	819	448	skeleton
1	7	813	483	skeleton
1	8	844	490	skeleton
1	3	841	495	skeleton
1	10	826	497	skeleton
1	6	818	499	skeleton
NA	NA	958	499	seedling
NA	NA	941	480	seedling
NA	NA	948	464	seedling
NA	NA	949	460	seedling
NA	NA	939	417	seedling
NA	NA	941	422	seedling
NA	NA	944	421	seedling
NA	NA	902	402	seedling
1	9	1054	481	skeleton
1	9	1059	483	skeleton
NA	NA	1082	426	rosette
NA	NA	1168	469	rosette
1	6	1286	410	skeleton
1	7	1280	414	skeleton
1	8	1268	417	skeleton
1	4	1243	418	skeleton
1	5	1279	429	skeleton
1	7	1289	436	skeleton
NA	NA	1267	496	seedling
NA	NA	1284	484	seedling
NA	NA	1248	451	seedling
1	9	1374	467	skeleton
1	4	1375	466	skeleton
1	5	1368	478	skeleton
1	11	1380	480	skeleton
1	6	1311	482	skeleton
1	9	1316	493	skeleton
NA	NA	1406	432	seedling
1	15	1561	435	skeleton
1	9	1530	476	skeleton
1	8	1505	497	skeleton
1	8	1560	492	skeleton
1	10	1591	489	skeleton
1	7	1581	495	skeleton
6	12	1590	499	skeleton
1	6	1537	467	skeleton
NA	NA	1503	420	seedling
NA	NA	1594	496	seedling
7	10	1682	412	skeleton
1	4	1635	419	skeleton
1	5	1671	440	skeleton
1	5	1638	445	skeleton
3	11	1625	474	skeleton
5	11	1667	476	regrowth
1	4	1667	477	skeleton
1	10	1645	484	skeleton
1	7	1652	488	skeleton
1	9	1655	496	skeleton
1	5	1640	499	skeleton
1	10	1771	403	skeleton
2	11	1725	405	skeleton
1	11	1765	412	skeleton
3	8	1783	416	skeleton
1	7	1756	419	skeleton
1	6	1712	435	skeleton
5	10	1719	440	skeleton
5	11	1734	451	regrowth
1	8	1878	419	skeleton
3	7	1837	422	skeleton
1	11	1857	441	skeleton
1	11	1896	468	skeleton
1	3	1841	486	skeleton
1	6	1886	486	skeleton
1	8	1980	411	skeleton
1	10	1941	436	skeleton
1	9	1972	439	skeleton
1	10	1941	439	skeleton
1	10	1993	444	skeleton
1	5	1999	447	skeleton
1	7	1936	462	skeleton
1	15	1977	468	skeleton
1	8	1982	472	skeleton
1	4	1982	474	skeleton
1	5	1971	481	skeleton
1	3	1990	482	skeleton
1	5	2019	407	skeleton
1	10	2007	411	skeleton
8	11	2051	417	skeleton
1	7	2015	419	skeleton
1	5	2081	446	skeleton
2	4	2050	452	skeleton
1	3	2061	453	skeleton
4	11	2086	464	regrowth
1	10	2054	471	skeleton
2	5	2005	476	skeleton
1	8	2059	486	skeleton
1	5	2079	491	skeleton
1	4	2002	492	skeleton
1	10	2024	493	skeleton
4	9	2082	497	skeleton
1	5	2098	494	skeleton
1	6	2015	448	skeleton
2	6	2108	403	skeleton
2	11	2169	428	skeleton
1	10	2197	440	skeleton
3	7	2184	468	skeleton
1	7	2197	471	skeleton
7	14	2116	477	skeleton
3	8	2131	487	skeleton
1	4	2125	491	skeleton
1	5	2127	493	skeleton
1	9	2119	494	skeleton
NA	NA	2120	427	rosette
2	7	2251	418	skeleton
1	4	2244	424	skeleton
1	3	2252	424	skeleton
1	5	2267	428	rosette
1	9	2276	435	skeleton
1	8	2256	438	skeleton
2	8	2284	447	skeleton
1	2	2283	445	skeleton
1	8	2279	462	skeleton
1	9	2271	466	skeleton
1	10	2276	473	skeleton
NA	NA	2228	488	seedling
NA	NA	2281	468	seedling
1	7	2328	413	skeleton
5	13	2361	486	regrowth
NA	NA	2380	406	rosette
NA	NA	2384	416	rosette
NA	NA	2387	426	seedling
NA	NA	2372	448	seedling
NA	NA	2392	485	seedling
NA	NA	2385	454	seedling
5	12	2434	499	regrowth
NA	NA	2476	474	rosette
NA	NA	2483	457	rosette
NA	NA	2467	456	seedling
NA	NA	2461	454	seedling
NA	NA	2464	454	seedling
NA	NA	2468	452	seedling
NA	NA	2483	452	rosette
NA	NA	2464	449	seedling
NA	NA	2479	447	seedling
NA	NA	2470	448	seedling
NA	NA	2468	447	seedling
NA	NA	2466	441	seedling
NA	NA	2465	440	seedling
NA	NA	2484	442	seedling
NA	NA	2485	437	seedling
NA	NA	2424	441	seedling
NA	NA	2460	436	seedling
NA	NA	2423	442	seedling
NA	NA	2462	429	rosette
NA	NA	2469	416	seedling
NA	NA	2471	415	seedling
NA	NA	2469	414	seedling
NA	NA	2467	402	rosette
6	9	2569	413	skeleton
2	10	2595	413	skeleton
1	7	2591	422	skeleton
1	6	2592	428	skeleton
1	8	2507	441	regrowth
3	9	2575	446	skeleton
4	7	2564	444	skeleton
1	9	2523	454	skeleton
1	10	2579	462	skeleton
1	6	2593	470	skeleton
1	7	2594	471	skeleton
1	6	2573	498	skeleton
5	11	2627	417	regrowth
5	10	2636	420	regrowth
1	10	2600	436	skeleton
1	14	2685	434	regrowth
3	13	2680	443	skeleton
1	10	2686	439	skeleton
1	4	2666	493	skeleton
6	11	2790	406	skeleton
3	10	2793	406	skeleton
1	11	2732	416	skeleton
5	11	2712	422	skeleton
1	10	2730	419	skeleton
1	7	2745	412	skeleton
2	10	2756	418	skeleton
3	10	2770	407	skeleton
2	8	2750	412	skeleton
2	9	2780	417	skeleton
8	10	2790	446	skeleton
1	11	2737	460	skeleton
1	14	2723	453	skeleton
1	7	2729	462	skeleton
1	5	2721	467	skeleton
6	13	2782	471	regrowth
2	9	2720	482	skeleton
1	17	2744	473	skeleton
2	7	2758	452	skeleton
5	9	2814	405	skeleton
1	6	2865	409	skeleton
1	8	2863	416	skeleton
1	9	2877	424	skeleton
1	7	2878	430	skeleton
3	12	2800	459	skeleton
1	10	2800	465	regrowth
1	8	2812	463	skeleton
1	6	2979	436	skeleton
NA	NA	2960	418	rosette
NA	NA	2951	426	seedling
NA	NA	2967	431	seedling
NA	NA	2967	436	seedling
NA	NA	2965	437	seedling
NA	NA	2960	442	seedling
NA	NA	2958	444	seedling
NA	NA	2915	487	seedling
4	13	58	593	skeleton
8	11	190	599	skeleton
8	7	290	556	skeleton
1	11	276	550	skeleton
1	12	291	556	skeleton
1	7	229	581	skeleton
10	14	237	591	skeleton
8	12	300	546	regrowth
4	10	300	548	skeleton
2	11	342	518	skeleton
1	10	375	554	regrowth
5	10	376	561	skeleton
4	12	379	597	regrowth
1	13	398	530	regrowth
8	16	400	516	skeleton
1	12	420	510	skeleton
1	7	420	515	skeleton
1	10	485	563	skeleton
1	7	487	568	skeleton
10	11	429	570	skeleton
10	10	469	588	skeleton
1	7	573	507	skeleton
1	13	548	514	skeleton
1	9	560	517	skeleton
1	11	528	526	skeleton
NA	NA	535	528	seedling
NA	NA	564	525	seedling
1	11	537	561	skeleton
1	7	523	565	skeleton
1	10	535	568	skeleton
2	6	528	570	skeleton
1	10	589	537	skeleton
1	9	650	509	skeleton
NA	NA	680	595	seedling
NA	NA	676	589	seedling
NA	NA	669	586	seedling
NA	NA	683	579	seedling
NA	NA	676	560	seedling
NA	NA	606	515	seedling
1	8	716	510	skeleton
1	9	770	520	skeleton
2	6	777	519	skeleton
1	6	770	519	skeleton
1	9	732	520	skeleton
1	6	757	526	skeleton
1	8	769	528	skeleton
1	8	708	545	skeleton
1	9	705	549	skeleton
1	5	828	526	skeleton
1	7	819	531	skeleton
2	4	802	528	skeleton
5	10	825	536	skeleton
1	9	817	552	skeleton
NA	NA	848	509	seedling
1	9	938	526	skeleton
1	5	924	530	skeleton
2	9	937	544	skeleton
2	4	968	547	skeleton
1	13	919	561	skeleton
1	7	917	503	skeleton
NA	NA	989	512	seedling
NA	NA	983	514	seedling
1	8	1008	594	skeleton
NA	NA	1036	599	rosette
